configuration,frames,mean_frame_time_ms,mean_speedup_x,max_speedup_in_particular_frame_x
Original HashDAG,998,11.69429255511022,1.0,1.0
Box LOD,998,9.31435993987976,1.255512201653352,1.8043137826174045
Relief LOD,998,9.377822094188376,1.247015824959764,1.7200773665048543
Complete method,998,10.362680410821644,1.128500744160554,1.4091409225560727
